,0
0,40.21560370181117
1,56.222231549805734
2,48.24678491671863
3,39.256937845803286
4,73.97705722808996
5,103.86249894609699
6,88.97020651574114
7,122.8591162064813
8,122.91924279147321
9,107.8273412539271
10,36.80608542154999
11,73.80237707747563
12,65.1215387081866
13,42.001460654492625
14,46.491627147752574
15,52.52179520478318
16,30.518832407262817
17,94.1068118964111
18,24.588032327038245
19,44.25214437514142
20,34.86873467096843
21,29.9922057202625
22,61.15295739120764
23,81.91443499136777
24,46.52417624413999
25,43.36902138997453
26,91.50770844194773
27,26.890314994917826
28,28.974278479864306
29,22.765326293426526
30,65.03924491365017
31,25.49367429136053
32,29.50816691970304
33,63.45417113392616
34,42.851475146331204
35,35.17077302653383
36,74.07064962662616
37,47.98925417647421
38,25.87518300465693
39,119.44261804005595
40,40.15178648466502
